Percentile,lifetime_AWOTE
1,5.3
2,5.7
3,5.8
4,6.1
5,6.4
6,6.6
7,6.8
8,7.1
9,7.3
10,7.4
11,7.6
12,7.8
13,8
14,8.1
15,8.3
16,8.5
17,8.7
18,8.9
19,9
20,9.2
21,9.3
22,9.4
23,9.7
24,9.8
25,9.9
26,10
27,10
28,10.3
29,10.6
30,10.7
31,11
32,11.2
33,11.3
34,11.4
35,11.6
36,11.9
37,12.1
38,12.3
39,12.6
40,12.7
41,13
42,13.2
43,13.4
44,13.4
45,13.6
46,13.9
47,14
48,14.4
49,14.6
50,14.8
51,14.9
52,15.2
53,15.4
54,15.6
55,15.9
56,16.3
57,16.4
58,16.8
59,17.3
60,17.4
61,17.8
62,18.2
63,18.7
64,18.8
65,19.2
66,19.6
67,20.1
68,20.8
69,20.9
70,21.5
71,21.6
72,22.4
73,22.6
74,23.6
75,23.7
76,24.4
77,24.6
78,25.7
79,26
80,27.1
81,28.1
82,28.2
83,30
84,30.9
85,31.7
86,33.5
87,34.9
88,35.9
89,36.9
90,39.3
91,39.1
92,42.7
93,45
94,46.3
95,47.6
96,51.3
97,53.8
98,54.8
99,58
100,67
