Percentile,lifetime_AWOTE
1,11.6
2,12.3
3,12.4
4,12.8
5,13.1
6,13.6
7,13.9
8,14.3
9,14.9
10,15.3
11,15.8
12,16.1
13,16.5
14,16.8
15,17
16,17.6
17,17.9
18,18.3
19,18.7
20,18.9
21,19.3
22,19.7
23,20
24,20.5
25,20.6
26,21
27,21.2
28,21.4
29,22.1
30,22.1
31,22.6
32,22.7
33,23.1
34,23.5
35,23.9
36,24.1
37,24.5
38,24.6
39,25.3
40,25.6
41,25.8
42,26.5
43,27
44,27.4
45,27.6
46,28.1
47,28.4
48,28.9
49,29.1
50,29.5
51,29.9
52,30.4
53,30.7
54,31
55,31.6
56,31.8
57,32
58,32.5
59,32.7
60,33.3
61,33.6
62,34.1
63,35
64,35.2
65,35.6
66,35.9
67,36.8
68,37.1
69,37.7
70,38.3
71,38.9
72,39.9
73,40.3
74,41.4
75,42.2
76,42.8
77,44
78,44.7
79,45.5
80,46.3
81,46.9
82,48
83,49
84,50.6
85,51.9
86,53.6
87,54.6
88,57.1
89,59
90,61.6
91,65.4
92,68.7
93,71.9
94,75.7
95,78.5
96,83.6
97,87.7
98,94.3
99,99.2
100,110
