Percentile,lifetime_AWOTE
1,8.9
2,9.4
3,9.7
4,10.1
5,10.3
6,10.6
7,11.1
8,11.4
9,11.9
10,12.2
11,12.5
12,12.8
13,13
14,13.3
15,13.7
16,13.9
17,14.2
18,14.5
19,14.8
20,15
21,15.3
22,15.5
23,15.8
24,16.3
25,16.3
26,16.5
27,16.7
28,16.9
29,17.3
30,17.4
31,17.7
32,17.9
33,18.2
34,18.5
35,18.6
36,19
37,19.2
38,19.5
39,20
40,20.4
41,20.8
42,21
43,21.4
44,21.7
45,22
46,22.5
47,22.8
48,23.2
49,23.5
50,23.7
51,24.2
52,24.7
53,24.9
54,25.2
55,25.7
56,26
57,26.3
58,26.8
59,27.2
60,27.5
61,27.9
62,28.4
63,28.8
64,29.1
65,29.5
66,30.2
67,30.8
68,31.5
69,31.7
70,32.4
71,32.7
72,33.7
73,34.4
74,35.1
75,36
76,36.8
77,37.9
78,38.9
79,39.8
80,40.3
81,41.1
82,43.1
83,43.7
84,44.6
85,47.1
86,49.2
87,49.2
88,52.7
89,55.6
90,58.3
91,58.9
92,62.6
93,66.1
94,68.9
95,72.6
96,76.3
97,79.5
98,82.7
99,87.6
100,112.1
