fy.year,age_range_description,ageWise_salary_percentile,AverageWage
2015-16,25 to 29,49,45254.15
2015-16,25 to 29,50,45959.84
2015-16,25 to 29,51,46693.1
2015-16,25 to 29,52,47437.84
2015-16,25 to 29,53,48118.19
2015-16,25 to 29,54,48822.38
2015-16,25 to 29,55,49602.79
2015-16,25 to 29,56,50333.96
2015-16,25 to 29,57,51052.59
2015-16,25 to 29,58,51861.64
2015-16,25 to 29,59,52661.73
2015-16,25 to 29,60,53491.77
2015-16,25 to 29,61,54250.99
2015-16,25 to 29,62,55018.3
2015-16,25 to 29,63,55829.62
2015-16,25 to 29,64,56650.37
2015-16,25 to 29,65,57414.16
2015-16,25 to 29,66,58155.83
2015-16,25 to 29,67,58948.61
2015-16,25 to 29,68,59740.59
2015-16,25 to 29,69,60582.75
2015-16,25 to 29,70,61472.96
2015-16,25 to 29,71,62345.95
2015-16,25 to 29,72,63205.7
2015-16,25 to 29,73,64125.87
2015-16,25 to 29,74,64995.94
2015-16,25 to 29,75,65879.94
2015-16,25 to 29,76,66850.39
2015-16,25 to 29,77,67904.85
2015-16,25 to 29,78,68978.59
2015-16,25 to 29,79,70103.92
2015-16,25 to 29,80,71303.97
2015-16,25 to 29,81,72551.84
2015-16,25 to 29,82,73782.3
2015-16,25 to 29,83,75149.67
2015-16,25 to 29,84,76436.04
2015-16,25 to 29,85,77778.32
2015-16,25 to 29,86,79361.78
2015-16,25 to 29,87,81164.11
2015-16,25 to 29,88,82721
2015-16,25 to 29,89,84607.47
2015-16,25 to 29,90,86983.83
2015-16,25 to 29,91,89352.62
2015-16,25 to 29,92,92202.28
2015-16,25 to 29,93,95491.88
2015-16,25 to 29,94,99389.13
2015-16,25 to 29,95,103492.06
2015-16,25 to 29,96,108525.97
2015-16,25 to 29,97,115279.99
2015-16,25 to 29,98,125086.14
2015-16,25 to 29,99,139581.91
2015-16,25 to 29,100,191763.68
2015-16,30 to 34,1,709.96
2015-16,30 to 34,2,1952.47
2015-16,30 to 34,3,3388.95
2015-16,30 to 34,4,4740.34
2015-16,30 to 34,5,5976.76
2015-16,30 to 34,6,7236.05
2015-16,30 to 34,7,8572.17
2015-16,30 to 34,8,10018.03
2015-16,30 to 34,9,11412.21
2015-16,30 to 34,10,12666.75
2015-16,30 to 34,11,13956.65
2015-16,30 to 34,12,15399.45
2015-16,30 to 34,13,16572.69
2015-16,30 to 34,14,17733.59
2015-16,30 to 34,15,18894.87
2015-16,30 to 34,16,20096.26
2015-16,30 to 34,17,21339.91
2015-16,30 to 34,18,22485.1
2015-16,30 to 34,19,23716.27
2015-16,30 to 34,20,24936.26
2015-16,30 to 34,21,26108.89
2015-16,30 to 34,22,27277.04
2015-16,30 to 34,23,28367.69
2015-16,30 to 34,24,29627.89
2015-16,30 to 34,25,30765.88
2015-16,30 to 34,26,31959.65
2015-16,30 to 34,27,33144.54
2015-16,30 to 34,28,34257.38
2015-16,30 to 34,29,35332.46
2015-16,30 to 34,30,36421.49
2015-16,30 to 34,31,37426.84
2015-16,30 to 34,32,38469.27
2015-16,30 to 34,33,39464.4
2015-16,30 to 34,34,40409.26
2015-16,30 to 34,35,41323.92
2015-16,30 to 34,36,42248.28
2015-16,30 to 34,37,43162.72
2015-16,30 to 34,38,44104.87
2015-16,30 to 34,39,45029.34
2015-16,30 to 34,40,45951.66
2015-16,30 to 34,41,46867.56
2015-16,30 to 34,42,47873.59
2015-16,30 to 34,43,48767.48
2015-16,30 to 34,44,49556.36
2015-16,30 to 34,45,50422.03
2015-16,30 to 34,46,51308.22
2015-16,30 to 34,47,52140.29
2015-16,30 to 34,48,53117.28
2015-16,30 to 34,49,54050.54
2015-16,30 to 34,50,54909.43
2015-16,30 to 34,51,55787.1
2015-16,30 to 34,52,56775.9
2015-16,30 to 34,53,57697.77
2015-16,30 to 34,54,58614.83
2015-16,30 to 34,55,59607.22
2015-16,30 to 34,56,60633.29
2015-16,30 to 34,57,61625.01
2015-16,30 to 34,58,62651.07
2015-16,30 to 34,59,63617.4
2015-16,30 to 34,60,64673.93
2015-16,30 to 34,61,65737.82
2015-16,30 to 34,62,66700.06
2015-16,30 to 34,63,67829.41
2015-16,30 to 34,64,68979.4
2015-16,30 to 34,65,70048.42
2015-16,30 to 34,66,71161.31
2015-16,30 to 34,67,72271.68
2015-16,30 to 34,68,73352.6
2015-16,30 to 34,69,74421.91
2015-16,30 to 34,70,75501.06
2015-16,30 to 34,71,76706.25
2015-16,30 to 34,72,77884.66
2015-16,30 to 34,73,79142.78
2015-16,30 to 34,74,80462.35
2015-16,30 to 34,75,81725.28
2015-16,30 to 34,76,83085.77
2015-16,30 to 34,77,84387.46
2015-16,30 to 34,78,85768.8
2015-16,30 to 34,79,87296.39
2015-16,30 to 34,80,88782.4
2015-16,30 to 34,81,90286.85
2015-16,30 to 34,82,91865.93
2015-16,30 to 34,83,93783.04
2015-16,30 to 34,84,95705.61
2015-16,30 to 34,85,97751.73
2015-16,30 to 34,86,100036.34
2015-16,30 to 34,87,102356.62
2015-16,30 to 34,88,105093.79
2015-16,30 to 34,89,107880.8
2015-16,30 to 34,90,110771.36
2015-16,30 to 34,91,113978.2
2015-16,30 to 34,92,117669.34
2015-16,30 to 34,93,121798.52
2015-16,30 to 34,94,126435.81
2015-16,30 to 34,95,132298.13
2015-16,30 to 34,96,139935.24
2015-16,30 to 34,97,149251.02
2015-16,30 to 34,98,162102.07
2015-16,30 to 34,99,182996.26
2015-16,30 to 34,100,276799.71
2015-16,35 to 39,1,658.82
2015-16,35 to 39,2,1831.84
2015-16,35 to 39,3,3388.91
2015-16,35 to 39,4,4975.65
2015-16,35 to 39,5,6403.31
2015-16,35 to 39,6,8096.29
2015-16,35 to 39,7,9701.95
2015-16,35 to 39,8,11216.42
2015-16,35 to 39,9,12752.81
2015-16,35 to 39,10,14160.15
2015-16,35 to 39,11,15718.04
2015-16,35 to 39,12,17206.73
2015-16,35 to 39,13,18456.53
2015-16,35 to 39,14,19675.86
2015-16,35 to 39,15,21090.01
2015-16,35 to 39,16,22336.85
2015-16,35 to 39,17,23599.06
2015-16,35 to 39,18,25006.59
2015-16,35 to 39,19,26372.61
2015-16,35 to 39,20,27473.49
2015-16,35 to 39,21,28688.19
2015-16,35 to 39,22,29916.14
2015-16,35 to 39,23,31111.99
2015-16,35 to 39,24,32308.75
2015-16,35 to 39,25,33424.03
2015-16,35 to 39,26,34456.18
2015-16,35 to 39,27,35612.94
2015-16,35 to 39,28,36706.04
2015-16,35 to 39,29,37753.7
2015-16,35 to 39,30,38846.25
2015-16,35 to 39,31,39879.16
2015-16,35 to 39,32,40942.85
2015-16,35 to 39,33,42049.2
2015-16,35 to 39,34,43026.93
2015-16,35 to 39,35,44015.61
2015-16,35 to 39,36,44951.94
2015-16,35 to 39,37,45866.97
2015-16,35 to 39,38,46796.94
2015-16,35 to 39,39,47829.31
2015-16,35 to 39,40,48839.81
2015-16,35 to 39,41,49851.87
2015-16,35 to 39,42,50800.54
2015-16,35 to 39,43,51838.09
2015-16,35 to 39,44,52733.65
2015-16,35 to 39,45,53711.09
2015-16,35 to 39,46,54714.21
2015-16,35 to 39,47,55712.74
2015-16,35 to 39,48,56719.71
2015-16,35 to 39,49,57714.97
2015-16,35 to 39,50,58755.69
2015-16,35 to 39,51,59817.5
2015-16,35 to 39,52,60925.38
2015-16,35 to 39,53,61939.79
2015-16,35 to 39,54,62981.69
2015-16,35 to 39,55,64081.71
2015-16,35 to 39,56,65177.13
2015-16,35 to 39,57,66225.65
2015-16,35 to 39,58,67388.07
2015-16,35 to 39,59,68597.19
2015-16,35 to 39,60,69722.95
2015-16,35 to 39,61,70905.4
2015-16,35 to 39,62,72162.02
2015-16,35 to 39,63,73210.2
2015-16,35 to 39,64,74338.42
2015-16,35 to 39,65,75579.09
2015-16,35 to 39,66,77028.5
2015-16,35 to 39,67,78302.45
2015-16,35 to 39,68,79653.87
2015-16,35 to 39,69,80938.31
2015-16,35 to 39,70,82285.32
2015-16,35 to 39,71,83647.16
2015-16,35 to 39,72,85183.63
2015-16,35 to 39,73,86620.83
2015-16,35 to 39,74,88197.58
2015-16,35 to 39,75,89755.29
2015-16,35 to 39,76,91426.67
2015-16,35 to 39,77,93103.47
2015-16,35 to 39,78,94951.99
2015-16,35 to 39,79,96673.16
2015-16,35 to 39,80,98659.67
2015-16,35 to 39,81,100744.77
2015-16,35 to 39,82,102770.22
2015-16,35 to 39,83,105243.53
2015-16,35 to 39,84,107685.85
2015-16,35 to 39,85,110147.99
2015-16,35 to 39,86,112819.52
2015-16,35 to 39,87,115844.3
2015-16,35 to 39,88,119244.61
2015-16,35 to 39,89,122807.4
2015-16,35 to 39,90,126532.91
2015-16,35 to 39,91,130711.24
2015-16,35 to 39,92,135566.34
2015-16,35 to 39,93,140857.69
2015-16,35 to 39,94,146505.31
2015-16,35 to 39,95,153729.36
2015-16,35 to 39,96,162771.23
2015-16,35 to 39,97,174674.65
2015-16,35 to 39,98,192835.99
2015-16,35 to 39,99,224405.55
2015-16,35 to 39,100,356842.58
2015-16,40 to 44,1,809.59
2015-16,40 to 44,2,2342.01
2015-16,40 to 44,3,4070.44
2015-16,40 to 44,4,5809.42
2015-16,40 to 44,5,7741.54
2015-16,40 to 44,6,9573.19
2015-16,40 to 44,7,11273.37
2015-16,40 to 44,8,12977.16
2015-16,40 to 44,9,14476.61
2015-16,40 to 44,10,16185.85
2015-16,40 to 44,11,17722.72
2015-16,40 to 44,12,19163.56
2015-16,40 to 44,13,20540.28
2015-16,40 to 44,14,21837.49
2015-16,40 to 44,15,23158.1
2015-16,40 to 44,16,24494.8
2015-16,40 to 44,17,25771.78
2015-16,40 to 44,18,27119.09
2015-16,40 to 44,19,28302.59
2015-16,40 to 44,20,29584.41
2015-16,40 to 44,21,30855.18
2015-16,40 to 44,22,32026.76
2015-16,40 to 44,23,33154.77
2015-16,40 to 44,24,34331.11
2015-16,40 to 44,25,35507.42
2015-16,40 to 44,26,36518.59
2015-16,40 to 44,27,37561.94
2015-16,40 to 44,28,38748.45
2015-16,40 to 44,29,39710.59
2015-16,40 to 44,30,40695.78
2015-16,40 to 44,31,41716.56
2015-16,40 to 44,32,42608.15
2015-16,40 to 44,33,43643.57
2015-16,40 to 44,34,44626.17
2015-16,40 to 44,35,45562.12
2015-16,40 to 44,36,46448.84
2015-16,40 to 44,37,47346.98
2015-16,40 to 44,38,48339.71
2015-16,40 to 44,39,49269.96
2015-16,40 to 44,40,50293.4
2015-16,40 to 44,41,51267.73
2015-16,40 to 44,42,52242.35
2015-16,40 to 44,43,53269.56
2015-16,40 to 44,44,54319.14
2015-16,40 to 44,45,55297.65
2015-16,40 to 44,46,56306.53
2015-16,40 to 44,47,57304.07
2015-16,40 to 44,48,58341.35
2015-16,40 to 44,49,59352.36
2015-16,40 to 44,50,60482.7
2015-16,40 to 44,51,61501.01
2015-16,40 to 44,52,62597.16
2015-16,40 to 44,53,63714.36
2015-16,40 to 44,54,64924.46
2015-16,40 to 44,55,66012.39
2015-16,40 to 44,56,67144.3
2015-16,40 to 44,57,68370.64
2015-16,40 to 44,58,69496.64
2015-16,40 to 44,59,70660.89
2015-16,40 to 44,60,71907.59
2015-16,40 to 44,61,73183.98
2015-16,40 to 44,62,74491.85
2015-16,40 to 44,63,75723.12
2015-16,40 to 44,64,77048.69
2015-16,40 to 44,65,78320.05
2015-16,40 to 44,66,79838.77
2015-16,40 to 44,67,81262.24
2015-16,40 to 44,68,82742.2
2015-16,40 to 44,69,84247.23
2015-16,40 to 44,70,85613.94
2015-16,40 to 44,71,87098.29
2015-16,40 to 44,72,88573.85
2015-16,40 to 44,73,90005.02
2015-16,40 to 44,74,91659.2
2015-16,40 to 44,75,93245.35
2015-16,40 to 44,76,95112.46
2015-16,40 to 44,77,96960.6
2015-16,40 to 44,78,99041.5
2015-16,40 to 44,79,100986.5
2015-16,40 to 44,80,103156.23
2015-16,40 to 44,81,105312.98
2015-16,40 to 44,82,107635.79
2015-16,40 to 44,83,110061.02
2015-16,40 to 44,84,112731.68
2015-16,40 to 44,85,115438.02
2015-16,40 to 44,86,118497.25
2015-16,40 to 44,87,121896.27
2015-16,40 to 44,88,125808.77
2015-16,40 to 44,89,130315.92
2015-16,40 to 44,90,135244.76
2015-16,40 to 44,91,140561.07
2015-16,40 to 44,92,146421.7
2015-16,40 to 44,93,152897.86
2015-16,40 to 44,94,160917.13
2015-16,40 to 44,95,170125.35
2015-16,40 to 44,96,181022.52
2015-16,40 to 44,97,195179.9
2015-16,40 to 44,98,217286.3
2015-16,40 to 44,99,299617.67
2015-16,40 to 44,100,432145.91
2015-16,45 to 49,1,874.53
2015-16,45 to 49,2,2724.79
2015-16,45 to 49,3,4752.32
2015-16,45 to 49,4,6721.28
2015-16,45 to 49,5,8973.48
2015-16,45 to 49,6,11015.51
2015-16,45 to 49,7,12874.78
2015-16,45 to 49,8,14440.71
2015-16,45 to 49,9,16097.5
2015-16,45 to 49,10,17661.58
2015-16,45 to 49,11,19078.41
2015-16,45 to 49,12,20429.38
2015-16,45 to 49,13,21846.4
2015-16,45 to 49,14,23180.62
2015-16,45 to 49,15,24472.64
2015-16,45 to 49,16,25880.86
2015-16,45 to 49,17,27178.89
2015-16,45 to 49,18,28351.83
2015-16,45 to 49,19,29490.19
2015-16,45 to 49,20,30725.25
2015-16,45 to 49,21,31971.2
2015-16,45 to 49,22,33126.88
2015-16,45 to 49,23,34129.95
2015-16,45 to 49,24,35106.33
2015-16,45 to 49,25,36112.15
2015-16,45 to 49,26,37034.94
2015-16,45 to 49,27,38067.68
2015-16,45 to 49,28,39125.81
2015-16,45 to 49,29,40120.55
2015-16,45 to 49,30,41075.69
2015-16,45 to 49,31,42111.22
2015-16,45 to 49,32,43098.28
2015-16,45 to 49,33,43969.4
2015-16,45 to 49,34,44880.93
2015-16,45 to 49,35,45803.25
2015-16,45 to 49,36,46724
2015-16,45 to 49,37,47642.36
2015-16,45 to 49,38,48527.52
2015-16,45 to 49,39,49456.26
2015-16,45 to 49,40,50455.86
2015-16,45 to 49,41,51434.57
2015-16,45 to 49,42,52356.66
2015-16,45 to 49,43,53267.71
2015-16,45 to 49,44,54204.31
2015-16,45 to 49,45,55186.53
2015-16,45 to 49,46,56118.84
2015-16,45 to 49,47,57042.09
2015-16,45 to 49,48,58115.43
2015-16,45 to 49,49,59198.24
2015-16,45 to 49,50,60227.47
2015-16,45 to 49,51,61326.84
2015-16,45 to 49,52,62383.84
2015-16,45 to 49,53,63414.94
2015-16,45 to 49,54,64443.16
2015-16,45 to 49,55,65486.6
2015-16,45 to 49,56,66553.89
2015-16,45 to 49,57,67688.5
2015-16,45 to 49,58,68907.1
2015-16,45 to 49,59,70119.79
2015-16,45 to 49,60,71349.15
2015-16,45 to 49,61,72539.64
2015-16,45 to 49,62,73768.58
2015-16,45 to 49,63,75028.01
2015-16,45 to 49,64,76486.07
2015-16,45 to 49,65,77926.16
2015-16,45 to 49,66,79469.64
2015-16,45 to 49,67,80963.74
2015-16,45 to 49,68,82346.83
2015-16,45 to 49,69,83801.15
2015-16,45 to 49,70,85206.77
2015-16,45 to 49,71,86672.43
2015-16,45 to 49,72,88271.73
2015-16,45 to 49,73,89826.12
2015-16,45 to 49,74,91359.43
2015-16,45 to 49,75,92949.31
2015-16,45 to 49,76,94557.66
2015-16,45 to 49,77,96332.2
2015-16,45 to 49,78,98289.79
2015-16,45 to 49,79,100231.22
2015-16,45 to 49,80,102295.54
2015-16,45 to 49,81,104300.36
2015-16,45 to 49,82,106633.35
2015-16,45 to 49,83,109396.04
2015-16,45 to 49,84,112063.7
2015-16,45 to 49,85,114837.02
2015-16,45 to 49,86,118018.28
2015-16,45 to 49,87,121797.42
2015-16,45 to 49,88,125758.75
2015-16,45 to 49,89,130192.57
2015-16,45 to 49,90,134972.81
2015-16,45 to 49,91,140606.89
2015-16,45 to 49,92,146748.39
2015-16,45 to 49,93,153610.78
2015-16,45 to 49,94,161534.13
2015-16,45 to 49,95,170877.97
2015-16,45 to 49,96,183287.3
2015-16,45 to 49,97,201248.33
2015-16,45 to 49,98,238205.67
2015-16,45 to 49,99,315322
2015-16,45 to 49,100,481766.15
2015-16,50 to 54,1,896.37
2015-16,50 to 54,2,2982.14
2015-16,50 to 54,3,5080.01
2015-16,50 to 54,4,7168.1
2015-16,50 to 54,5,9274.23
2015-16,50 to 54,6,11328.59
2015-16,50 to 54,7,13369.59
2015-16,50 to 54,8,15017.23
2015-16,50 to 54,9,16673.24
2015-16,50 to 54,10,18307.47
2015-16,50 to 54,11,19737.56
2015-16,50 to 54,12,21058.19
2015-16,50 to 54,13,22223.81
2015-16,50 to 54,14,23446.22
2015-16,50 to 54,15,24708.94
2015-16,50 to 54,16,25925.57
2015-16,50 to 54,17,27130.33
2015-16,50 to 54,18,28303.05
2015-16,50 to 54,19,29564.48
2015-16,50 to 54,20,30589.78
2015-16,50 to 54,21,31773.5
2015-16,50 to 54,22,32865.49
2015-16,50 to 54,23,33886.33
2015-16,50 to 54,24,34897.68
2015-16,50 to 54,25,35827.96
2015-16,50 to 54,26,36847.64
2015-16,50 to 54,27,37856.36
2015-16,50 to 54,28,38708.09
2015-16,50 to 54,29,39528.71
2015-16,50 to 54,30,40398.3
2015-16,50 to 54,31,41256.41
2015-16,50 to 54,32,42113.51
2015-16,50 to 54,33,42962.64
2015-16,50 to 54,34,43775.27
2015-16,50 to 54,35,44622
2015-16,50 to 54,36,45414.81
2015-16,50 to 54,37,46336.56
2015-16,50 to 54,38,47127.95
2015-16,50 to 54,39,47848.4
2015-16,50 to 54,40,48704.5
2015-16,50 to 54,41,49557.87
2015-16,50 to 54,42,50401.51
2015-16,50 to 54,43,51340.13
2015-16,50 to 54,44,52178.54
2015-16,50 to 54,45,53027.97
2015-16,50 to 54,46,53948.45
2015-16,50 to 54,47,55067.6
2015-16,50 to 54,48,55975.63
2015-16,50 to 54,49,56903.38
2015-16,50 to 54,50,57781.2
2015-16,50 to 54,51,58764.32
2015-16,50 to 54,52,59925.16
2015-16,50 to 54,53,60982.99
2015-16,50 to 54,54,62020.34
2015-16,50 to 54,55,63063.38
2015-16,50 to 54,56,64152.02
2015-16,50 to 54,57,65294.88
2015-16,50 to 54,58,66426.27
2015-16,50 to 54,59,67614.99
2015-16,50 to 54,60,68735.51
2015-16,50 to 54,61,69942.68
2015-16,50 to 54,62,71040.81
2015-16,50 to 54,63,72246.86
2015-16,50 to 54,64,73405.14
2015-16,50 to 54,65,74589.94
2015-16,50 to 54,66,75715.08
2015-16,50 to 54,67,77015.88
2015-16,50 to 54,68,78268.56
2015-16,50 to 54,69,79550.75
2015-16,50 to 54,70,80878.73
2015-16,50 to 54,71,82386.18
2015-16,50 to 54,72,83789.12
2015-16,50 to 54,73,85260.87
2015-16,50 to 54,74,86732.8
2015-16,50 to 54,75,88153.53
2015-16,50 to 54,76,89745.39
2015-16,50 to 54,77,91545.06
2015-16,50 to 54,78,93426.61
2015-16,50 to 54,79,95225.98
2015-16,50 to 54,80,97298.64
2015-16,50 to 54,81,99257
2015-16,50 to 54,82,101570.11
2015-16,50 to 54,83,103986.9
2015-16,50 to 54,84,106678.16
2015-16,50 to 54,85,109265.68
2015-16,50 to 54,86,112359.18
2015-16,50 to 54,87,115689.3
