Percentile,lifetime_AWOTE
1,13.4
2,14
3,14.3
4,14.8
5,15.2
6,15.5
7,15.9
8,16.3
9,17
10,17.2
11,17.7
12,18
13,18.3
14,18.6
15,19.1
16,19.4
17,19.8
18,20.1
19,20.4
20,20.8
21,21
22,21.3
23,21.9
24,22.3
25,22.3
26,22.8
27,23
28,23.4
29,23.9
30,24.3
31,24.6
32,24.8
33,25.2
34,25.4
35,25.8
36,26.5
37,26.6
38,26.8
39,27.7
40,28.1
41,28.3
42,28.7
43,29.3
44,29.5
45,30.1
46,30.6
47,31.2
48,31.6
49,32
50,32.3
51,32.9
52,33.5
53,33.7
54,34.2
55,34.6
56,35.3
57,35.4
58,36.1
59,36.7
60,36.8
61,37.4
62,38
63,38.6
64,39.2
65,39.4
66,40.2
67,41.2
68,41.9
69,42.4
70,43.9
71,44.4
72,45.1
73,45.9
74,46.8
75,47.8
76,49
77,49.8
78,51.2
79,52.1
80,53.8
81,54.8
82,56.8
83,59.1
84,60.3
85,61.7
86,64.4
87,67.1
88,69.8
89,73.6
90,75.7
91,79.4
92,82.9
93,89.2
94,94.1
95,96.5
96,103
97,107
98,116
99,119.9
100,131.8
